asn,name,country,severity
174,"Cogent Communications",US,low
6424,"EDGOO Networks",PT,medium
6830,"Liberty Global Europe",NL,low
9009,"M247 Europe",RO,high
11798,"Ace Data Centers",US,medium
13213,"THG Hosting / UK2",GB,medium
18779,"EGIHosting",US,medium
20473,"Vultr (Constant Company)",US,medium
30058,"FDCServers",US,high
36352,"HostPapa / ColoCrossing",US,high
40676,"Psychz Networks",US,high
43180,"Trunk Networks",SC,medium
50077,"SYN LTD",GB,medium
132817,"DZCRD Networks",BD,medium
199081,"Lancom Ltd.",GR,medium
200373,"3xK Tech GmbH",DE,high
202015,"HZ Hosting",BG,medium
202914,"Adeo Datacenter",DK,medium
203020,"HostRoyale Technologies",IN,high
203061,"UAB code200",LT,medium
205659,"UAB code200 (ISP2)",LT,medium
207990,"HostRoyale (customer)",IN,high
212238,"Datacamp / CDNEXT",GB,high
393886,"Leaseweb USA (Miami)",US,medium
394380,"Leaseweb USA (Dallas)",US,medium
394474,"WhiteLabelColo",US,medium
396190,"Leaseweb USA (Seattle)",US,high
401152,"Ace Data Centers II",US,medium
